twin_id	sample_id	run_accession	country	continent	fake_VISNO
P19	ERR912130	ERR912130	United Kingdom	Europe	2
P19	ERR912081	ERR912081	United Kingdom	Europe	1
P2	ERR911955	ERR911955	United Kingdom	Europe	2
P2	ERR911954	ERR911954	United Kingdom	Europe	1
P20	ERR911973	ERR911973	United Kingdom	Europe	2
P20	ERR911972	ERR911972	United Kingdom	Europe	1
P21	ERR911975	ERR911975	United Kingdom	Europe	2
P21	ERR911974	ERR911974	United Kingdom	Europe	1
P22	ERR912131	ERR912131	United Kingdom	Europe	2
P22	ERR911976	ERR911976	United Kingdom	Europe	1
P23	ERR912183	ERR912183	United Kingdom	Europe	1
P23	ERR912082	ERR912082	United Kingdom	Europe	2
P24	ERR911977	ERR911977	United Kingdom	Europe	1
P24	ERR911978	ERR911978	United Kingdom	Europe	2
P25	ERR912083	ERR912083	United Kingdom	Europe	2
P25	ERR912184	ERR912184	United Kingdom	Europe	1
P26	ERR911979	ERR911979	United Kingdom	Europe	1
P27	ERR911980	ERR911980	United Kingdom	Europe	1
P27	ERR912185	ERR912185	United Kingdom	Europe	2
P28	ERR911981	ERR911981	United Kingdom	Europe	1
P28	ERR912132	ERR912132	United Kingdom	Europe	2
P29	ERR911982	ERR911982	United Kingdom	Europe	1
P29	ERR911983	ERR911983	United Kingdom	Europe	2
P3	ERR912123	ERR912123	United Kingdom	Europe	2
P3	ERR912073	ERR912073	United Kingdom	Europe	1
P30	ERR911984	ERR911984	United Kingdom	Europe	1
P30	ERR911985	ERR911985	United Kingdom	Europe	2
P31	ERR912084	ERR912084	United Kingdom	Europe	1
P31	ERR912085	ERR912085	United Kingdom	Europe	2
P32	ERR911986	ERR911986	United Kingdom	Europe	1
P32	ERR911987	ERR911987	United Kingdom	Europe	2
P33	ERR912133	ERR912133	United Kingdom	Europe	2
P33	ERR912086	ERR912086	United Kingdom	Europe	1
P34	ERR911988	ERR911988	United Kingdom	Europe	1
P34	ERR911989	ERR911989	United Kingdom	Europe	2
P35	ERR912187	ERR912187	United Kingdom	Europe	2
P35	ERR912186	ERR912186	United Kingdom	Europe	1
P36	ERR911991	ERR911991	United Kingdom	Europe	2
P36	ERR911990	ERR911990	United Kingdom	Europe	1
P37	ERR912134	ERR912134	United Kingdom	Europe	1
P37	ERR912087	ERR912087	United Kingdom	Europe	2
P38	ERR911992	ERR911992	United Kingdom	Europe	1
P38	ERR912135	ERR912135	United Kingdom	Europe	2
P39	ERR912088	ERR912088	United Kingdom	Europe	2
P39	ERR912188	ERR912188	United Kingdom	Europe	1
P4	ERR912074	ERR912074	United Kingdom	Europe	1
P4	ERR911956	ERR911956	United Kingdom	Europe	2
P40	ERR911994	ERR911994	United Kingdom	Europe	2
P40	ERR911993	ERR911993	United Kingdom	Europe	1
P41	ERR912089	ERR912089	United Kingdom	Europe	2
P41	ERR911995	ERR911995	United Kingdom	Europe	1
P42	ERR912136	ERR912136	United Kingdom	Europe	2
P42	ERR912090	ERR912090	United Kingdom	Europe	1
P43	ERR911996	ERR911996	United Kingdom	Europe	2
P43	ERR912137	ERR912137	United Kingdom	Europe	1
P44	ERR911997	ERR911997	United Kingdom	Europe	1
P44	ERR911998	ERR911998	United Kingdom	Europe	2
P45	ERR912091	ERR912091	United Kingdom	Europe	2
P45	ERR911999	ERR911999	United Kingdom	Europe	1
P46	ERR912000	ERR912000	United Kingdom	Europe	1
P46	ERR912092	ERR912092	United Kingdom	Europe	2
P47	ERR912001	ERR912001	United Kingdom	Europe	1
P47	ERR912093	ERR912093	United Kingdom	Europe	2
P48	ERR912002	ERR912002	United Kingdom	Europe	1
P48	ERR912003	ERR912003	United Kingdom	Europe	2
P49	ERR912094	ERR912094	United Kingdom	Europe	2
P49	ERR912004	ERR912004	United Kingdom	Europe	1
P5	ERR912125	ERR912125	United Kingdom	Europe	2
P5	ERR912124	ERR912124	United Kingdom	Europe	1
P50	ERR912096	ERR912096	United Kingdom	Europe	2
P50	ERR912095	ERR912095	United Kingdom	Europe	1
P51	ERR912005	ERR912005	United Kingdom	Europe	1
P51	ERR912006	ERR912006	United Kingdom	Europe	2
P52	ERR912008	ERR912008	United Kingdom	Europe	2
P52	ERR912007	ERR912007	United Kingdom	Europe	1
P53	ERR912097	ERR912097	United Kingdom	Europe	2
P53	ERR912009	ERR912009	United Kingdom	Europe	1
P54	ERR912011	ERR912011	United Kingdom	Europe	2
P54	ERR912010	ERR912010	United Kingdom	Europe	1
P55	ERR912012	ERR912012	United Kingdom	Europe	2
P55	ERR912098	ERR912098	United Kingdom	Europe	1
P56	ERR912013	ERR912013	United Kingdom	Europe	2
P56	ERR912099	ERR912099	United Kingdom	Europe	1
P57	ERR912015	ERR912015	United Kingdom	Europe	2
P57	ERR912014	ERR912014	United Kingdom	Europe	1
P58	ERR912017	ERR912017	United Kingdom	Europe	2
P58	ERR912016	ERR912016	United Kingdom	Europe	1
P59	ERR912019	ERR912019	United Kingdom	Europe	2
P59	ERR912018	ERR912018	United Kingdom	Europe	1
P6	ERR912126	ERR912126	United Kingdom	Europe	1
P6	ERR911957	ERR911957	United Kingdom	Europe	2
P60	ERR912189	ERR912189	United Kingdom	Europe	2
P60	ERR912020	ERR912020	United Kingdom	Europe	1
P61	ERR912022	ERR912022	United Kingdom	Europe	2
P61	ERR912021	ERR912021	United Kingdom	Europe	1
P62	ERR912101	ERR912101	United Kingdom	Europe	2
P62	ERR912100	ERR912100	United Kingdom	Europe	1
P63	ERR912138	ERR912138	United Kingdom	Europe	1
P63	ERR912023	ERR912023	United Kingdom	Europe	2
P64	ERR912102	ERR912102	United Kingdom	Europe	2
P64	ERR912024	ERR912024	United Kingdom	Europe	1
P65	ERR912103	ERR912103	United Kingdom	Europe	2
P65	ERR912025	ERR912025	United Kingdom	Europe	1
P66	ERR912190	ERR912190	United Kingdom	Europe	1
P66	ERR912104	ERR912104	United Kingdom	Europe	2
P67	ERR912026	ERR912026	United Kingdom	Europe	2
P67	ERR912105	ERR912105	United Kingdom	Europe	1
P68	ERR912139	ERR912139	United Kingdom	Europe	1
P68	ERR912140	ERR912140	United Kingdom	Europe	2
P69	ERR912027	ERR912027	United Kingdom	Europe	1
P7	ERR911959	ERR911959	United Kingdom	Europe	2
P7	ERR911958	ERR911958	United Kingdom	Europe	1
P70	ERR912191	ERR912191	United Kingdom	Europe	2
P70	ERR912106	ERR912106	United Kingdom	Europe	1
P71	ERR912028	ERR912028	United Kingdom	Europe	2
P71	ERR912141	ERR912141	United Kingdom	Europe	1
P72	ERR912030	ERR912030	United Kingdom	Europe	2
P72	ERR912029	ERR912029	United Kingdom	Europe	1
P73	ERR912031	ERR912031	United Kingdom	Europe	1
P73	ERR912032	ERR912032	United Kingdom	Europe	2
P74	ERR912192	ERR912192	United Kingdom	Europe	1
P74	ERR912033	ERR912033	United Kingdom	Europe	2
P75	ERR912034	ERR912034	United Kingdom	Europe	1
P75	ERR912142	ERR912142	United Kingdom	Europe	2
P76	ERR912107	ERR912107	United Kingdom	Europe	2
P76	ERR912143	ERR912143	United Kingdom	Europe	1
P77	ERR912035	ERR912035	United Kingdom	Europe	1
P78	ERR912108	ERR912108	United Kingdom	Europe	2
P78	ERR912036	ERR912036	United Kingdom	Europe	1
P79	ERR912038	ERR912038	United Kingdom	Europe	2
P79	ERR912037	ERR912037	United Kingdom	Europe	1
P8	ERR912075	ERR912075	United Kingdom	Europe	1
P8	ERR912076	ERR912076	United Kingdom	Europe	2
P80	ERR912039	ERR912039	United Kingdom	Europe	1
P80	ERR912144	ERR912144	United Kingdom	Europe	2
P81	ERR912040	ERR912040	United Kingdom	Europe	1
P81	ERR912041	ERR912041	United Kingdom	Europe	2
P82	ERR912145	ERR912145	United Kingdom	Europe	1
P82	ERR912042	ERR912042	United Kingdom	Europe	2
P83	ERR912109	ERR912109	United Kingdom	Europe	1
P83	ERR912043	ERR912043	United Kingdom	Europe	2
P84	ERR912044	ERR912044	United Kingdom	Europe	1
P84	ERR912110	ERR912110	United Kingdom	Europe	2
P85	ERR912146	ERR912146	United Kingdom	Europe	1
P85	ERR912111	ERR912111	United Kingdom	Europe	2
P86	ERR912112	ERR912112	United Kingdom	Europe	2
P86	ERR912193	ERR912193	United Kingdom	Europe	1
P87	ERR912113	ERR912113	United Kingdom	Europe	1
P87	ERR912045	ERR912045	United Kingdom	Europe	2
P88	ERR912147	ERR912147	United Kingdom	Europe	2
P88	ERR912114	ERR912114	United Kingdom	Europe	1
P89	ERR912046	ERR912046	United Kingdom	Europe	2
P89	ERR912148	ERR912148	United Kingdom	Europe	1
P9	ERR911960	ERR911960	United Kingdom	Europe	1
P9	ERR911961	ERR911961	United Kingdom	Europe	2
P90	ERR912047	ERR912047	United Kingdom	Europe	2
P90	ERR912115	ERR912115	United Kingdom	Europe	1
P91	ERR912048	ERR912048	United Kingdom	Europe	2
P91	ERR912116	ERR912116	United Kingdom	Europe	1
P92	ERR912049	ERR912049	United Kingdom	Europe	2
P92	ERR912194	ERR912194	United Kingdom	Europe	1
P93	ERR912149	ERR912149	United Kingdom	Europe	1
P93	ERR912117	ERR912117	United Kingdom	Europe	2
P94	ERR912118	ERR912118	United Kingdom	Europe	1
P94	ERR912050	ERR912050	United Kingdom	Europe	2
P95	ERR912051	ERR912051	United Kingdom	Europe	2
P95	ERR912150	ERR912150	United Kingdom	Europe	1
P96	ERR912052	ERR912052	United Kingdom	Europe	2
P96	ERR912151	ERR912151	United Kingdom	Europe	1
P97	ERR912053	ERR912053	United Kingdom	Europe	2
P97	ERR912119	ERR912119	United Kingdom	Europe	1
P98	ERR912055	ERR912055	United Kingdom	Europe	2
P98	ERR912054	ERR912054	United Kingdom	Europe	1
P99	ERR912152	ERR912152	United Kingdom	Europe	2
P99	ERR912120	ERR912120	United Kingdom	Europe	1
